document_id,class,producer,creator,pages,file_size,page_rot,page_size_x,page_size_y,filename,folder_name,text,word_count,copyright_symbol,ratio_text_image,ration_text_pages,ratio_words_box,avg_text_size,ratio_image_pages,avg_image_size
a30c5afc5a0e231ed23038edf65a6061,0,0.0,0.0,13,157.323,0,594.96,842.04,0.0,0.0,1.0,3196.6153846153848,1,0,32.76923076923077,14.370892018779342,4325.841983601996,0.0,nan
a3435d865a2527845feaf99f01e048ff,0,0.0,0.0,2,10.7,0,595.32,841.92,0.0,0.0,0.5,1693.0,0,0,28.0,3.6607142857142856,1647.1863903557135,0.0,nan
a3808054a9394ef7231083265f261680,0,0.0,0.0,1,97.743,0,595.0,842.0,0.0,0.0,0.5,1412.0,0,0,3.0,51.666666666666664,57666.34656631997,0.0,nan
a38fb9452e9d13c9d8e35359d7f6ace1,0,0.0,0.0,3,79.433,0,595.0,842.0,0.0,0.0,0.5,2801.0,0,0,33.0,5.696969696969697,5603.275132488906,0.0,nan
a396d7986220b6dbf495f589a29bd3cb,0,0.0,0.5,10,78.1,1,595.0,842.0,0.0,0.0,0.0,500.3,0,0,8.9,6.202247191011236,15701.942012406213,0.0,nan
a3b25bd5f4e2a435906c4f9dbb2fe072,1,0.0,0.5,46,303.649,0,595.0,842.0,0.0,0.0,0.0,3393.8478260869565,0,0,28.782608695652176,11.886706948640484,6111.053552484955,0.0,nan
a3e0bfc279f65c06279ce3f23c09b92a,1,0.5,1.0,14,1529.358,0,557.1,708.12,0.0,0.0,0.5,0.0,0,0.0,0.0,nan,nan,1.0,391198.2355719913
a3fec4a76b89773f185a48b6ec93083c,1,0.0,0.5,34,490.013,0,442.0,663.0,0.0,0.0,1.0,4299.058823529412,1,12.628571428571428,13.0,40.321266968325794,11516.350004987193,1.0294117647058822,1221.4285714285713
a4351807fee95ad4a750546b71b657fb,1,0.0,0.0,51,4314.371,0,595.32,841.92,0.0,0.0,0.5,1480.7254901960785,0,19.686567164179106,25.862745098039216,4.485216072782411,2462.9122361351674,1.3137254901960784,86972.00294561386
a44e4ff9581c2145c0e63925c53d2d4c,0,0.0,0.0,3,71.059,0,595.0,842.0,0.0,0.0,0.0,2221.0,0,0,3.6666666666666665,72.27272727272727,69870.65015263636,0.0,nan
a4b599a1a247a252cf51b0d25f08c724,0,0.0,0.0,2,116.486,0,595.32,841.92,0.0,0.0,0.5,1849.0,0,0,33.0,5.484848484848484,2840.4400807610164,0.0,nan
a4bd10d8d940f6182bc1c85d2874ef7a,1,0.5,1.0,30,2675.292,0,612.0,800.0,0.0,0.0,1.0,2841.0,1,8.193548387096774,8.466666666666667,42.74409448818898,14608.47492763744,1.0333333333333334,315712.6451612903
a4c3d7297ba788e0589eed8234326069,1,1.0,0.5,20,2323.199,0,595.2,841.68,0.0,0.0,0.5,12003.7,0,52.55,52.55,9.720266412940058,7967.243333235966,1.0,500967.9360000001
a4cacbcf418036d684d197c8837beb1f,0,0.0,0.0,12,303.435,0,960.0,540.0,0.0,0.0,0.0,453.0833333333333,0,14.333333333333334,7.166666666666667,6.558139534883721,10633.396639554445,0.5,57821.4456292328
a4eea93dd49e967937e3021935b887fd,0,0.5,0.5,2,395.278,0,595.32,841.92,0.0,0.0,0.0,2813.5,0,0,28.5,9.596491228070175,5728.466094395389,0.0,nan
a536677368b5ef13e5a7c2101e9bb01a,0,0.0,0.0,9,573.866,0,595.32,841.92,0.0,0.0,0.0,2345.1111111111113,0,166.0,36.888888888888886,3.9789156626506026,1904.8210861937343,0.2222222222222222,69783.18750000001
a551c5566874bc9dcc9f40a3854de5e8,0,0.0,0.0,2,52.616,0,595.0,842.0,0.0,0.0,0.0,2250.0,0,0,4.5,64.55555555555556,42876.21830799998,0.0,nan
a57ad95ab7bb8e57740a7ccaad07f374,0,0.0,0.5,1,44.501,0,595.0,842.0,0.0,0.0,0.0,2646.0,0,0,15.0,17.8,15735.26598176134,0.0,nan
a5f86950ede3ff0ae4ad2d0017adec0f,0,1.0,0.5,36,652.947,0,720.0,540.0,0.0,0.0,0.5,453.0833333333333,0,16.6,6.916666666666667,4.542168674698795,8903.194081339207,0.4166666666666667,79899.79335607399
a604373754bf54200516319d2ed56914,1,0.5,0.5,16,95.174,0,612.0,792.0,0.0,0.0,0.5,3735.375,0,0,17.6875,28.363957597173144,10438.517034661989,0.0,nan
a641e8dcaeef0fda69f6024288d4434e,1,1.0,1.0,27,887.937,0,268.0,414.0,0.0,0.0,0.5,0.0,0,0.0,0.0,nan,nan,1.0,113543.77777777778
a673e8f2ed0513460d2ca114cc20b2a1,0,0.0,0.0,61,4078.054,0,794.0,595.0,0.0,0.0,0.0,283.1311475409836,0,10.966666666666667,5.39344262295082,5.556231003039514,19754.550958903834,0.4918032786885246,161402.04766666662
a67da4050ba7282dbb2ca03bee743b6d,0,0.0,0.0,19,3171.126,0,794.0,595.0,0.0,0.0,0.0,434.05263157894734,0,6.35,6.684210526315789,5.141732283464567,13812.759851929135,1.0526315789473684,185847.141
a69acaacc655eeadd3f726c1f2fe4dd1,0,0.5,0.0,23,762.202,0,720.0,540.0,0.0,0.0,0.0,676.304347826087,0,3.1551724137931036,7.956521739130435,5.327868852459017,18668.766879572137,2.5217391304347827,14295.753036473894
a69f1d509bad565587621800cea5dce2,0,0.5,0.5,47,5987.462,1,595.22,842.0,0.0,0.0,0.5,395.468085106383,0,6.078947368421052,9.829787234042554,2.712121212121212,7052.126307755772,1.6170212765957446,51318.29772631579
